timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),PWRHYDLKAXX,Major_Hydro,0.385191,,,,dispatch: 361 days (compiled CSV)
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),PWRWONLKAXX,Wind,0.407357,0.239937,,,dispatch: 361 days (compiled CSV)
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),PWRSPVLKAXX,Solar,0.000000,0.000000,,,dispatch: 361 days (compiled CSV)
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),PWRBIOLKAXX,Biomass,0.190231,,,,dispatch: 361 days (compiled CSV)
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D5,Pre-monsoon (Mar-May),Late night (22-24),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D5,Pre-monsoon (Mar-May),Late night (22-24),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D5,Pre-monsoon (Mar-May),Late night (22-24),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D5,Pre-monsoon (Mar-May),Late night (22-24),PWRHYDLKAXX,Major_Hydro,0.222562,,,,dispatch: 361 days (compiled CSV)
S2D5,Pre-monsoon (Mar-May),Late night (22-24),PWRWONLKAXX,Wind,0.381717,0.249413,,,dispatch: 361 days (compiled CSV)
S2D5,Pre-monsoon (Mar-May),Late night (22-24),PWRSPVLKAXX,Solar,0.000000,0.000000,,,dispatch: 361 days (compiled CSV)
S2D5,Pre-monsoon (Mar-May),Late night (22-24),PWRBIOLKAXX,Biomass,0.188750,,,,dispatch: 361 days (compiled CSV)
S2D5,Pre-monsoon (Mar-May),Late night (22-24),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
