resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2021,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.026652,0.05828,0.272,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2021,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.385165,0.139378,0.693,0.084,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2021,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.025615,0.05648,0.269,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2021,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.016611,0.04514,0.211,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2021,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.464557,0.167843,0.748,0.077,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2021,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.015131,0.042354,0.216,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2022,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.016765,0.047413,0.247,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2022,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.496535,0.159866,0.768,0.065,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2022,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.012739,0.03672,0.185,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2022,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.034035,0.072498,0.273,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2022,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.519636,0.12576,0.749,0.135,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2022,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.029171,0.063527,0.23,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2022,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.029054,0.063134,0.28,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2022,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.413123,0.140994,0.711,0.069,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2022,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.0271,0.058879,0.257,0.0,976,23.7231,90.4086,6.0,0.111416
