REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S2D1,ELCBGDXX03,2028,38.414059248
GLOBAL,S2D2,ELCBGDXX03,2028,66.79212516300001
GLOBAL,S2D3,ELCBGDXX03,2028,19.641287892
GLOBAL,S2D4,ELCBGDXX03,2028,13.95914897
GLOBAL,S2D5,ELCBGDXX03,2028,12.263050079
GLOBAL,S3D1,ELCBGDXX03,2028,55.770151992
GLOBAL,S3D2,ELCBGDXX03,2028,92.12623045900001
GLOBAL,S3D3,ELCBGDXX03,2028,26.412631978
GLOBAL,S3D4,ELCBGDXX03,2028,19.503060875000003
GLOBAL,S3D5,ELCBGDXX03,2028,17.627207537
GLOBAL,S4D1,ELCBGDXX03,2028,23.193662904
GLOBAL,S4D2,ELCBGDXX03,2028,41.200549801
GLOBAL,S4D3,ELCBGDXX03,2028,12.694342102
GLOBAL,S4D4,ELCBGDXX03,2028,8.577787291
GLOBAL,S4D5,ELCBGDXX03,2028,7.512312087000001
GLOBAL,S1D1,ELCBGDXX03,2029,33.147526805999995
GLOBAL,S1D2,ELCBGDXX03,2029,68.064999526
GLOBAL,S1D3,ELCBGDXX03,2029,20.550757120999997
GLOBAL,S1D4,ELCBGDXX03,2029,13.851695546
GLOBAL,S1D5,ELCBGDXX03,2029,11.274694838
GLOBAL,S2D1,ELCBGDXX03,2029,41.019161712
GLOBAL,S2D2,ELCBGDXX03,2029,71.321725347
GLOBAL,S2D3,ELCBGDXX03,2029,20.973288948
GLOBAL,S2D4,ELCBGDXX03,2029,14.90580793
GLOBAL,S2D5,ELCBGDXX03,2029,13.094685750999998
GLOBAL,S3D1,ELCBGDXX03,2029,59.55228184799999
GLOBAL,S3D2,ELCBGDXX03,2029,98.373897971
GLOBAL,S3D3,ELCBGDXX03,2029,28.203841082
GLOBAL,S3D4,ELCBGDXX03,2029,20.825687875
GLOBAL,S3D5,ELCBGDXX03,2029,18.822620953
GLOBAL,S4D1,ELCBGDXX03,2029,24.766573175999998
GLOBAL,S4D2,ELCBGDXX03,2029,43.994621969
GLOBAL,S4D3,ELCBGDXX03,2029,13.555226438
