REGION,STORAGE,SEASON,YEAR,VALUE
GLOBAL,SDSINDNO01,2,2035,8.380408865070377e-09
GLOBAL,SDSINDNO01,2,2036,-4.6074676717140766e-08
GLOBAL,SDSINDNO01,2,2038,8.380408865070377e-09
GLOBAL,SDSINDNO01,2,2039,2.797518834966005e-10
GLOBAL,SDSINDNO01,2,2041,2.797518834966005e-10
GLOBAL,SDSINDNO01,2,2045,-3.260897820278781e-08
GLOBAL,SDSINDNO01,2,2046,49.861673274391
GLOBAL,SDSINDNO01,2,2047,296.5225299070237
GLOBAL,SDSINDNO01,2,2048,330.2506372861035
GLOBAL,SDSINDNO01,2,2049,330.2506420454913
GLOBAL,SDSINDNO01,2,2050,330.25065398589385
GLOBAL,SDSINDNO01,3,2030,-8.380408865070377e-09
GLOBAL,SDSINDNO01,3,2031,-8.380408865070377e-09
GLOBAL,SDSINDNO01,3,2032,-8.380408865070377e-09
GLOBAL,SDSINDNO01,3,2033,-8.380408865070377e-09
GLOBAL,SDSINDNO01,3,2034,3.2329898493575755e-09
GLOBAL,SDSINDNO01,3,2036,-4.2841686867674776e-08
GLOBAL,SDSINDNO01,3,2037,-8.380408865070377e-09
GLOBAL,SDSINDNO01,3,2039,-8.100656981573777e-09
GLOBAL,SDSINDNO01,3,2040,-8.380408865070377e-09
GLOBAL,SDSINDNO01,3,2041,-8.100656981573777e-09
GLOBAL,SDSINDNO01,3,2042,-8.219247156200734e-09
GLOBAL,SDSINDNO01,3,2043,-8.219247156200734e-09
GLOBAL,SDSINDNO01,3,2045,-3.260897820278781e-08
GLOBAL,SDSINDNO01,3,2046,49.86144035818522
GLOBAL,SDSINDNO01,3,2047,296.5214468991162
GLOBAL,SDSINDNO01,3,2048,330.2494088325142
GLOBAL,SDSINDNO01,3,2049,330.2494332830425
GLOBAL,SDSINDNO01,3,2050,330.24954247631035
GLOBAL,SDSINDNO01,4,2035,8.380408865016167e-09
GLOBAL,SDSINDNO01,4,2036,-4.607467671703235e-08
GLOBAL,SDSINDNO01,4,2038,8.380408865070377e-09
GLOBAL,SDSINDNO01,4,2042,-8.219247156200734e-09
GLOBAL,SDSINDNO01,4,2045,-3.260897820278781e-08
GLOBAL,SDSINDNO01,4,2046,49.86144035818522
GLOBAL,SDSINDNO01,4,2047,296.52166408794886
GLOBAL,SDSINDNO01,4,2048,330.249673433432
GLOBAL,SDSINDNO01,4,2049,330.24965764458415
GLOBAL,SDSINDNO01,4,2050,330.24979912190645
GLOBAL,SDSINDSO01,1,2031,-5.90518661801407e-09
GLOBAL,SDSINDSO01,1,2034,5.905162402033286e-09
GLOBAL,SDSINDSO01,1,2035,-5.90518661801407e-09
GLOBAL,SDSINDSO01,1,2036,7.735720472610423e-09
GLOBAL,SDSINDSO01,1,2041,-2.5823252889321796e-10
GLOBAL,SDSINDSO01,1,2043,-1.830575411306684e-09
GLOBAL,SDSINDSO01,1,2045,7.735719709548934e-09
GLOBAL,SDSINDSO01,1,2047,1.1419740803684069
GLOBAL,SDSINDSO01,1,2048,14.313714066498228
GLOBAL,SDSINDSO01,1,2049,15.472095822983713
GLOBAL,SDSINDSO01,1,2050,15.472095822983713
GLOBAL,SDSINDSO01,2,2033,5.90518661801407e-09
GLOBAL,SDSINDSO01,2,2034,5.905162402033286e-09
GLOBAL,SDSINDSO01,2,2036,7.735720472610423e-09
GLOBAL,SDSINDSO01,2,2040,2.5823250785969587e-10
GLOBAL,SDSINDSO01,2,2045,7.735720472580957e-09
GLOBAL,SDSINDSO01,2,2047,1.1419740803684069
GLOBAL,SDSINDSO01,2,2048,14.313714066498228
GLOBAL,SDSINDSO01,2,2049,15.472095822983713
GLOBAL,SDSINDSO01,2,2050,15.472095822983713
GLOBAL,SDSINDSO01,3,2030,-5.90518661801407e-09
GLOBAL,SDSINDSO01,3,2031,-5.90518661801407e-09
GLOBAL,SDSINDSO01,3,2035,-5.90518661801407e-09
GLOBAL,SDSINDSO01,3,2037,-7.735762029320753e-09
GLOBAL,SDSINDSO01,3,2039,-7.735762029320753e-09
GLOBAL,SDSINDSO01,3,2041,-7.735762029320753e-09
GLOBAL,SDSINDSO01,3,2042,-7.735762029320753e-09
GLOBAL,SDSINDSO01,3,2043,-1.830575411306684e-09
GLOBAL,SDSINDSO01,3,2046,-1.830575411306684e-09
GLOBAL,SDSINDSO01,3,2047,1.1419726268227817
GLOBAL,SDSINDSO01,3,2048,14.31369586860306
GLOBAL,SDSINDSO01,3,2049,15.472076152515516
GLOBAL,SDSINDSO01,3,2050,15.472076152515518
GLOBAL,SDSINDSO01,4,2031,-5.90518661801407e-09
GLOBAL,SDSINDSO01,4,2034,5.905162402076899e-09
GLOBAL,SDSINDSO01,4,2035,-5.90518661801407e-09
GLOBAL,SDSINDSO01,4,2036,7.735720472628864e-09
GLOBAL,SDSINDSO01,4,2041,-2.5823252875056907e-10
GLOBAL,SDSINDSO01,4,2043,-1.830575411306684e-09
GLOBAL,SDSINDSO01,4,2045,7.73571970957878e-09
GLOBAL,SDSINDSO01,4,2047,1.1419726268227817
GLOBAL,SDSINDSO01,4,2048,14.31369586860306
GLOBAL,SDSINDSO01,4,2049,15.472076152515516
