REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,DSPTRNINDNO,ELCINDNO03,2043,4598.465401529999
GLOBAL,DSPTRNINDNO,ELCINDNO03,2044,4794.185108167319
GLOBAL,DSPTRNINDNO,ELCINDNO03,2045,4977.13502286
GLOBAL,DSPTRNINDNO,ELCINDNO03,2046,5179.592385716332
GLOBAL,DSPTRNINDNO,ELCINDNO03,2047,5386.98461301
GLOBAL,DSPTRNINDNO,ELCINDNO03,2048,5604.3943956
GLOBAL,DSPTRNINDNO,ELCINDNO03,2049,5830.58416941
GLOBAL,DSPTRNINDNO,ELCINDNO03,2050,6065.90393409
GLOBAL,DSPTRNINDSO,ELCINDSO03,2023,1400.6449571917124
GLOBAL,DSPTRNINDSO,ELCINDSO03,2024,1482.0475565141594
GLOBAL,DSPTRNINDSO,ELCINDSO03,2025,1568.4817480497165
GLOBAL,DSPTRNINDSO,ELCINDSO03,2026,1663.5492924059367
GLOBAL,DSPTRNINDSO,ELCINDSO03,2027,1759.8060342921872
GLOBAL,DSPTRNINDSO,ELCINDSO03,2028,1860.0578150185463
GLOBAL,DSPTRNINDSO,ELCINDSO03,2029,1976.2521121848345
GLOBAL,DSPTRNINDSO,ELCINDSO03,2030,2066.265551970726
GLOBAL,DSPTRNINDSO,ELCINDSO03,2031,2153.850348311545
GLOBAL,DSPTRNINDSO,ELCINDSO03,2032,2258.8520051583864
GLOBAL,DSPTRNINDSO,ELCINDSO03,2033,2364.8474589198
GLOBAL,DSPTRNINDSO,ELCINDSO03,2034,2487.764394055134
GLOBAL,DSPTRNINDSO,ELCINDSO03,2035,2583.700318052486
GLOBAL,DSPTRNINDSO,ELCINDSO03,2036,2689.8699472796175
GLOBAL,DSPTRNINDSO,ELCINDSO03,2037,2800.655630375521
GLOBAL,DSPTRNINDSO,ELCINDSO03,2038,2919.8736141139616
GLOBAL,DSPTRNINDSO,ELCINDSO03,2039,3063.988977862764
GLOBAL,DSPTRNINDSO,ELCINDSO03,2040,3228.370502105555
