REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOALKA,1,2042,2.4
GLOBAL,MINCOALKA,1,2043,2.4
GLOBAL,MINCOALKA,1,2044,2.4
GLOBAL,MINCOALKA,1,2045,2.4
GLOBAL,MINCOALKA,1,2046,2.42
GLOBAL,MINCOALKA,1,2047,2.44
GLOBAL,MINCOALKA,1,2048,2.46
GLOBAL,MINCOALKA,1,2049,2.48
GLOBAL,MINCOALKA,1,2050,2.5
GLOBAL,MINCOAMDV,1,2023,2.2
GLOBAL,MINCOAMDV,1,2024,2.2
GLOBAL,MINCOAMDV,1,2025,2.2
GLOBAL,MINCOAMDV,1,2026,2.22
GLOBAL,MINCOAMDV,1,2027,2.24
GLOBAL,MINCOAMDV,1,2028,2.26
GLOBAL,MINCOAMDV,1,2029,2.28
GLOBAL,MINCOAMDV,1,2030,2.3
GLOBAL,MINCOAMDV,1,2031,2.3
GLOBAL,MINCOAMDV,1,2032,2.3
GLOBAL,MINCOAMDV,1,2033,2.3
GLOBAL,MINCOAMDV,1,2034,2.3
GLOBAL,MINCOAMDV,1,2035,2.3
GLOBAL,MINCOAMDV,1,2036,2.32
GLOBAL,MINCOAMDV,1,2037,2.34
GLOBAL,MINCOAMDV,1,2038,2.36
GLOBAL,MINCOAMDV,1,2039,2.38
GLOBAL,MINCOAMDV,1,2040,2.4
GLOBAL,MINCOAMDV,1,2041,2.4
GLOBAL,MINCOAMDV,1,2042,2.4
GLOBAL,MINCOAMDV,1,2043,2.4
GLOBAL,MINCOAMDV,1,2044,2.4
GLOBAL,MINCOAMDV,1,2045,2.4
GLOBAL,MINCOAMDV,1,2046,2.42
GLOBAL,MINCOAMDV,1,2047,2.44
GLOBAL,MINCOAMDV,1,2048,2.46
GLOBAL,MINCOAMDV,1,2049,2.48
GLOBAL,MINCOAMDV,1,2050,2.5
GLOBAL,MINCOANPL,1,2023,2.2
GLOBAL,MINCOANPL,1,2024,2.2
GLOBAL,MINCOANPL,1,2025,2.2
GLOBAL,MINCOANPL,1,2026,2.22
GLOBAL,MINCOANPL,1,2027,2.24
GLOBAL,MINCOANPL,1,2028,2.26
GLOBAL,MINCOANPL,1,2029,2.28
GLOBAL,MINCOANPL,1,2030,2.3
GLOBAL,MINCOANPL,1,2031,2.3
GLOBAL,MINCOANPL,1,2032,2.3
GLOBAL,MINCOANPL,1,2033,2.3
GLOBAL,MINCOANPL,1,2034,2.3
GLOBAL,MINCOANPL,1,2035,2.3
GLOBAL,MINCOANPL,1,2036,2.32
GLOBAL,MINCOANPL,1,2037,2.34
GLOBAL,MINCOANPL,1,2038,2.36
GLOBAL,MINCOANPL,1,2039,2.38
GLOBAL,MINCOANPL,1,2040,2.4
GLOBAL,MINCOANPL,1,2041,2.4
GLOBAL,MINCOANPL,1,2042,2.4
GLOBAL,MINCOANPL,1,2043,2.4
GLOBAL,MINCOANPL,1,2044,2.4
GLOBAL,MINCOANPL,1,2045,2.4
GLOBAL,MINCOANPL,1,2046,2.42
GLOBAL,MINCOANPL,1,2047,2.44
GLOBAL,MINCOANPL,1,2048,2.46
GLOBAL,MINCOANPL,1,2049,2.48
GLOBAL,MINCOANPL,1,2050,2.5
GLOBAL,MINCOGBGD,1,2023,9.478
GLOBAL,MINCOGBGD,1,2024,9.478
GLOBAL,MINCOGBGD,1,2025,9.478
GLOBAL,MINCOGBGD,1,2026,9.478
GLOBAL,MINCOGBGD,1,2027,9.478
GLOBAL,MINCOGBGD,1,2028,9.478
GLOBAL,MINCOGBGD,1,2029,9.478
GLOBAL,MINCOGBGD,1,2030,9.478
GLOBAL,MINCOGBGD,1,2031,9.478
GLOBAL,MINCOGBGD,1,2032,9.478
GLOBAL,MINCOGBGD,1,2033,9.478
GLOBAL,MINCOGBGD,1,2034,9.478
GLOBAL,MINCOGBGD,1,2035,9.478
GLOBAL,MINCOGBGD,1,2036,9.478
GLOBAL,MINCOGBGD,1,2037,9.478
GLOBAL,MINCOGBGD,1,2038,9.478
GLOBAL,MINCOGBGD,1,2039,9.478
GLOBAL,MINCOGBGD,1,2040,9.478
GLOBAL,MINCOGBGD,1,2041,9.478
GLOBAL,MINCOGBGD,1,2042,9.478
GLOBAL,MINCOGBGD,1,2043,9.478
GLOBAL,MINCOGBGD,1,2044,9.478
GLOBAL,MINCOGBGD,1,2045,9.478
GLOBAL,MINCOGBGD,1,2046,9.478
GLOBAL,MINCOGBGD,1,2047,9.478
GLOBAL,MINCOGBGD,1,2048,9.478
GLOBAL,MINCOGBGD,1,2049,9.478
GLOBAL,MINCOGBGD,1,2050,9.478
GLOBAL,MINCOGBTN,1,2023,9.478
GLOBAL,MINCOGBTN,1,2024,9.478
GLOBAL,MINCOGBTN,1,2025,9.478
GLOBAL,MINCOGBTN,1,2026,9.478
GLOBAL,MINCOGBTN,1,2027,9.478
GLOBAL,MINCOGBTN,1,2028,9.478
GLOBAL,MINCOGBTN,1,2029,9.478
GLOBAL,MINCOGBTN,1,2030,9.478
GLOBAL,MINCOGBTN,1,2031,9.478
GLOBAL,MINCOGBTN,1,2032,9.478
GLOBAL,MINCOGBTN,1,2033,9.478
GLOBAL,MINCOGBTN,1,2034,9.478
GLOBAL,MINCOGBTN,1,2035,9.478
GLOBAL,MINCOGBTN,1,2036,9.478
GLOBAL,MINCOGBTN,1,2037,9.478
GLOBAL,MINCOGBTN,1,2038,9.478
GLOBAL,MINCOGBTN,1,2039,9.478
GLOBAL,MINCOGBTN,1,2040,9.478
GLOBAL,MINCOGBTN,1,2041,9.478
GLOBAL,MINCOGBTN,1,2042,9.478
GLOBAL,MINCOGBTN,1,2043,9.478
GLOBAL,MINCOGBTN,1,2044,9.478
GLOBAL,MINCOGBTN,1,2045,9.478
GLOBAL,MINCOGBTN,1,2046,9.478
GLOBAL,MINCOGBTN,1,2047,9.478
GLOBAL,MINCOGBTN,1,2048,9.478
GLOBAL,MINCOGBTN,1,2049,9.478
GLOBAL,MINCOGBTN,1,2050,9.478
GLOBAL,MINCOGIND,1,2023,9.478
GLOBAL,MINCOGIND,1,2024,9.478
GLOBAL,MINCOGIND,1,2025,9.478
GLOBAL,MINCOGIND,1,2026,9.478
GLOBAL,MINCOGIND,1,2027,9.478
GLOBAL,MINCOGIND,1,2028,9.478
GLOBAL,MINCOGIND,1,2029,9.478
GLOBAL,MINCOGIND,1,2030,9.478
GLOBAL,MINCOGIND,1,2031,9.478
GLOBAL,MINCOGIND,1,2032,9.478
GLOBAL,MINCOGIND,1,2033,9.478
GLOBAL,MINCOGIND,1,2034,9.478
GLOBAL,MINCOGIND,1,2035,9.478
GLOBAL,MINCOGIND,1,2036,9.478
GLOBAL,MINCOGIND,1,2037,9.478
GLOBAL,MINCOGIND,1,2038,9.478
GLOBAL,MINCOGIND,1,2039,9.478
GLOBAL,MINCOGIND,1,2040,9.478
GLOBAL,MINCOGIND,1,2041,9.478
GLOBAL,MINCOGIND,1,2042,9.478
GLOBAL,MINCOGIND,1,2043,9.478
GLOBAL,MINCOGIND,1,2044,9.478
GLOBAL,MINCOGIND,1,2045,9.478
GLOBAL,MINCOGIND,1,2046,9.478
GLOBAL,MINCOGIND,1,2047,9.478
GLOBAL,MINCOGIND,1,2048,9.478
GLOBAL,MINCOGIND,1,2049,9.478
GLOBAL,MINCOGIND,1,2050,9.478
GLOBAL,MINCOGINT,1,2023,12.322
GLOBAL,MINCOGINT,1,2024,12.322
GLOBAL,MINCOGINT,1,2025,12.322
GLOBAL,MINCOGINT,1,2026,12.322
GLOBAL,MINCOGINT,1,2027,12.322
GLOBAL,MINCOGINT,1,2028,12.322
GLOBAL,MINCOGINT,1,2029,12.322
GLOBAL,MINCOGINT,1,2030,12.322
GLOBAL,MINCOGINT,1,2031,12.322
GLOBAL,MINCOGINT,1,2032,12.322
GLOBAL,MINCOGINT,1,2033,12.322
GLOBAL,MINCOGINT,1,2034,12.322
GLOBAL,MINCOGINT,1,2035,12.322
GLOBAL,MINCOGINT,1,2036,12.322
GLOBAL,MINCOGINT,1,2037,12.322
GLOBAL,MINCOGINT,1,2038,12.322
GLOBAL,MINCOGINT,1,2039,12.322
GLOBAL,MINCOGINT,1,2040,12.322
GLOBAL,MINCOGINT,1,2041,12.322
GLOBAL,MINCOGINT,1,2042,12.322
GLOBAL,MINCOGINT,1,2043,12.322
GLOBAL,MINCOGINT,1,2044,12.322
GLOBAL,MINCOGINT,1,2045,12.322
GLOBAL,MINCOGINT,1,2046,12.322
GLOBAL,MINCOGINT,1,2047,12.322
GLOBAL,MINCOGINT,1,2048,12.322
GLOBAL,MINCOGINT,1,2049,12.322
GLOBAL,MINCOGINT,1,2050,12.322
GLOBAL,MINCOGLKA,1,2023,9.478
GLOBAL,MINCOGLKA,1,2024,9.478
GLOBAL,MINCOGLKA,1,2025,9.478
GLOBAL,MINCOGLKA,1,2026,9.478
GLOBAL,MINCOGLKA,1,2027,9.478
GLOBAL,MINCOGLKA,1,2028,9.478
GLOBAL,MINCOGLKA,1,2029,9.478
GLOBAL,MINCOGLKA,1,2030,9.478
GLOBAL,MINCOGLKA,1,2031,9.478
GLOBAL,MINCOGLKA,1,2032,9.478
GLOBAL,MINCOGLKA,1,2033,9.478
GLOBAL,MINCOGLKA,1,2034,9.478
GLOBAL,MINCOGLKA,1,2035,9.478
GLOBAL,MINCOGLKA,1,2036,9.478
GLOBAL,MINCOGLKA,1,2037,9.478
GLOBAL,MINCOGLKA,1,2038,9.478
GLOBAL,MINCOGLKA,1,2039,9.478
GLOBAL,MINCOGLKA,1,2040,9.478
GLOBAL,MINCOGLKA,1,2041,9.478
GLOBAL,MINCOGLKA,1,2042,9.478
GLOBAL,MINCOGLKA,1,2043,9.478
GLOBAL,MINCOGLKA,1,2044,9.478
GLOBAL,MINCOGLKA,1,2045,9.478
GLOBAL,MINCOGLKA,1,2046,9.478
GLOBAL,MINCOGLKA,1,2047,9.478
GLOBAL,MINCOGLKA,1,2048,9.478
GLOBAL,MINCOGLKA,1,2049,9.478
GLOBAL,MINCOGLKA,1,2050,9.478
GLOBAL,MINCOGMDV,1,2023,9.478
GLOBAL,MINCOGMDV,1,2024,9.478
GLOBAL,MINCOGMDV,1,2025,9.478
GLOBAL,MINCOGMDV,1,2026,9.478
GLOBAL,MINCOGMDV,1,2027,9.478
GLOBAL,MINCOGMDV,1,2028,9.478
GLOBAL,MINCOGMDV,1,2029,9.478
GLOBAL,MINCOGMDV,1,2030,9.478
GLOBAL,MINCOGMDV,1,2031,9.478
GLOBAL,MINCOGMDV,1,2032,9.478
GLOBAL,MINCOGMDV,1,2033,9.478
GLOBAL,MINCOGMDV,1,2034,9.478
GLOBAL,MINCOGMDV,1,2035,9.478
GLOBAL,MINCOGMDV,1,2036,9.478
GLOBAL,MINCOGMDV,1,2037,9.478
GLOBAL,MINCOGMDV,1,2038,9.478
GLOBAL,MINCOGMDV,1,2039,9.478
GLOBAL,MINCOGMDV,1,2040,9.478
GLOBAL,MINCOGMDV,1,2041,9.478
GLOBAL,MINCOGMDV,1,2042,9.478
GLOBAL,MINCOGMDV,1,2043,9.478
GLOBAL,MINCOGMDV,1,2044,9.478
GLOBAL,MINCOGMDV,1,2045,9.478
GLOBAL,MINCOGMDV,1,2046,9.478
GLOBAL,MINCOGMDV,1,2047,9.478
GLOBAL,MINCOGMDV,1,2048,9.478
GLOBAL,MINCOGMDV,1,2049,9.478
GLOBAL,MINCOGMDV,1,2050,9.478
GLOBAL,MINCOGNPL,1,2023,9.478
GLOBAL,MINCOGNPL,1,2024,9.478
GLOBAL,MINCOGNPL,1,2025,9.478
GLOBAL,MINCOGNPL,1,2026,9.478
GLOBAL,MINCOGNPL,1,2027,9.478
GLOBAL,MINCOGNPL,1,2028,9.478
GLOBAL,MINCOGNPL,1,2029,9.478
GLOBAL,MINCOGNPL,1,2030,9.478
GLOBAL,MINCOGNPL,1,2031,9.478
GLOBAL,MINCOGNPL,1,2032,9.478
GLOBAL,MINCOGNPL,1,2033,9.478
GLOBAL,MINCOGNPL,1,2034,9.478
GLOBAL,MINCOGNPL,1,2035,9.478
GLOBAL,MINCOGNPL,1,2036,9.478
GLOBAL,MINCOGNPL,1,2037,9.478
GLOBAL,MINCOGNPL,1,2038,9.478
GLOBAL,MINCOGNPL,1,2039,9.478
GLOBAL,MINCOGNPL,1,2040,9.478
GLOBAL,MINCOGNPL,1,2041,9.478
GLOBAL,MINCOGNPL,1,2042,9.478
GLOBAL,MINCOGNPL,1,2043,9.478
GLOBAL,MINCOGNPL,1,2044,9.478
GLOBAL,MINCOGNPL,1,2045,9.478
GLOBAL,MINCOGNPL,1,2046,9.478
GLOBAL,MINCOGNPL,1,2047,9.478
GLOBAL,MINCOGNPL,1,2048,9.478
GLOBAL,MINCOGNPL,1,2049,9.478
GLOBAL,MINCOGNPL,1,2050,9.478
GLOBAL,MINGASBGD,1,2023,13.6
GLOBAL,MINGASBGD,1,2024,12.75
GLOBAL,MINGASBGD,1,2025,11.9
GLOBAL,MINGASBGD,1,2026,11.52
GLOBAL,MINGASBGD,1,2027,11.14
GLOBAL,MINGASBGD,1,2028,10.76
GLOBAL,MINGASBGD,1,2029,10.38
GLOBAL,MINGASBGD,1,2030,10.0
GLOBAL,MINGASBGD,1,2031,10.0
GLOBAL,MINGASBGD,1,2032,10.0
GLOBAL,MINGASBGD,1,2033,10.0
GLOBAL,MINGASBGD,1,2034,10.0
GLOBAL,MINGASBGD,1,2035,10.0
GLOBAL,MINGASBGD,1,2036,10.0
GLOBAL,MINGASBGD,1,2037,10.0
GLOBAL,MINGASBGD,1,2038,10.0
GLOBAL,MINGASBGD,1,2039,10.0
GLOBAL,MINGASBGD,1,2040,10.0
GLOBAL,MINGASBGD,1,2041,10.0
GLOBAL,MINGASBGD,1,2042,10.0
GLOBAL,MINGASBGD,1,2043,10.0
GLOBAL,MINGASBGD,1,2044,10.0
GLOBAL,MINGASBGD,1,2045,10.0
GLOBAL,MINGASBGD,1,2046,10.0
GLOBAL,MINGASBGD,1,2047,10.0
GLOBAL,MINGASBGD,1,2048,10.0
GLOBAL,MINGASBGD,1,2049,10.0
GLOBAL,MINGASBGD,1,2050,10.0
GLOBAL,MINGASBTN,1,2023,13.6
GLOBAL,MINGASBTN,1,2024,12.75
GLOBAL,MINGASBTN,1,2025,11.9
GLOBAL,MINGASBTN,1,2026,11.52
GLOBAL,MINGASBTN,1,2027,11.14
GLOBAL,MINGASBTN,1,2028,10.76
GLOBAL,MINGASBTN,1,2029,10.38
GLOBAL,MINGASBTN,1,2030,10.0
GLOBAL,MINGASBTN,1,2031,10.0
GLOBAL,MINGASBTN,1,2032,10.0
GLOBAL,MINGASBTN,1,2033,10.0
GLOBAL,MINGASBTN,1,2034,10.0
GLOBAL,MINGASBTN,1,2035,10.0
GLOBAL,MINGASBTN,1,2036,10.0
GLOBAL,MINGASBTN,1,2037,10.0
GLOBAL,MINGASBTN,1,2038,10.0
GLOBAL,MINGASBTN,1,2039,10.0
GLOBAL,MINGASBTN,1,2040,10.0
GLOBAL,MINGASBTN,1,2041,10.0
GLOBAL,MINGASBTN,1,2042,10.0
GLOBAL,MINGASBTN,1,2043,10.0
GLOBAL,MINGASBTN,1,2044,10.0
GLOBAL,MINGASBTN,1,2045,10.0
GLOBAL,MINGASBTN,1,2046,10.0
GLOBAL,MINGASBTN,1,2047,10.0
GLOBAL,MINGASBTN,1,2048,10.0
