resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2017,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.000628,0.002286,0.018,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2017,S4D4,S4,D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2017,S4D5,S4,D5,Post-monsoon (Oct-Nov),Late night (22-24),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2018,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2018,S1D2,S1,D2,Winter (Dec-Feb),Solar day (06-17),0.376143,0.228096,0.746,0.0,990,23.7231,90.4086,6.0,0.113014
solar,BGDXX,2018,S1D3,S1,D3,Winter (Dec-Feb),Evening peak (17-20),0.000293,0.001287,0.011,0.0,270,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2018,S1D4,S1,D4,Winter (Dec-Feb),Late evening (20-22),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2018,S1D5,S1,D5,Winter (Dec-Feb),Late night (22-24),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2018,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),7e-06,0.000104,0.002,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2018,S2D2,S2,D2,Pre-monsoon (Mar-May),Solar day (06-17),0.401586,0.197177,0.765,0.013,1012,23.7231,90.4086,6.0,0.115525
solar,BGDXX,2018,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening peak (17-20),0.014326,0.02339,0.088,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2018,S2D4,S2,D4,Pre-monsoon (Mar-May),Late evening (20-22),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2018,S2D5,S2,D5,Pre-monsoon (Mar-May),Late night (22-24),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2018,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),2.3e-05,0.00023,0.004,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2018,S3D2,S3,D2,SW Monsoon (Jun-Sep),Solar day (06-17),0.309082,0.163209,0.69,0.001,1342,23.7231,90.4086,6.0,0.153196
solar,BGDXX,2018,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening peak (17-20),0.015036,0.025245,0.104,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2018,S3D4,S3,D4,SW Monsoon (Jun-Sep),Late evening (20-22),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2018,S3D5,S3,D5,SW Monsoon (Jun-Sep),Late night (22-24),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2018,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-06),0.0,0.0,0.0,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2018,S4D2,S4,D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.386125,0.223477,0.717,0.0,671,23.7231,90.4086,6.0,0.076598
solar,BGDXX,2018,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.00124,0.003868,0.024,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2018,S4D4,S4,D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2018,S4D5,S4,D5,Post-monsoon (Oct-Nov),Late night (22-24),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2019,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2019,S1D2,S1,D2,Winter (Dec-Feb),Solar day (06-17),0.38803,0.229476,0.765,0.0,990,23.7231,90.4086,6.0,0.113014
solar,BGDXX,2019,S1D3,S1,D3,Winter (Dec-Feb),Evening peak (17-20),0.000296,0.001375,0.014,0.0,270,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2019,S1D4,S1,D4,Winter (Dec-Feb),Late evening (20-22),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2019,S1D5,S1,D5,Winter (Dec-Feb),Late night (22-24),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2019,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),7e-06,0.000104,0.002,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2019,S2D2,S2,D2,Pre-monsoon (Mar-May),Solar day (06-17),0.417631,0.197906,0.795,0.0,1012,23.7231,90.4086,6.0,0.115525
solar,BGDXX,2019,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening peak (17-20),0.015822,0.025722,0.088,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2019,S2D4,S2,D4,Pre-monsoon (Mar-May),Late evening (20-22),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2019,S2D5,S2,D5,Pre-monsoon (Mar-May),Late night (22-24),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2019,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),5.9e-05,0.000435,0.006,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2019,S3D2,S3,D2,SW Monsoon (Jun-Sep),Solar day (06-17),0.313735,0.167316,0.705,0.004,1342,23.7231,90.4086,6.0,0.153196
solar,BGDXX,2019,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening peak (17-20),0.015842,0.02729,0.106,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2019,S3D4,S3,D4,SW Monsoon (Jun-Sep),Late evening (20-22),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2019,S3D5,S3,D5,SW Monsoon (Jun-Sep),Late night (22-24),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2019,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-06),0.0,0.0,0.0,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2019,S4D2,S4,D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.361447,0.222372,0.719,0.0,671,23.7231,90.4086,6.0,0.076598
solar,BGDXX,2019,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.00094,0.003053,0.017,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2019,S4D4,S4,D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2019,S4D5,S4,D5,Post-monsoon (Oct-Nov),Late night (22-24),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2020,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,546,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2020,S1D2,S1,D2,Winter (Dec-Feb),Solar day (06-17),0.378185,0.229186,0.765,0.0,1001,23.7231,90.4086,6.0,0.113014
solar,BGDXX,2020,S1D3,S1,D3,Winter (Dec-Feb),Evening peak (17-20),0.000289,0.001751,0.019,0.0,273,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2020,S1D4,S1,D4,Winter (Dec-Feb),Late evening (20-22),0.0,0.0,0.0,0.0,182,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2020,S1D5,S1,D5,Winter (Dec-Feb),Late night (22-24),0.0,0.0,0.0,0.0,182,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2020,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),5e-06,7.4e-05,0.001,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2020,S2D2,S2,D2,Pre-monsoon (Mar-May),Solar day (06-17),0.430615,0.201192,0.77,0.007,1012,23.7231,90.4086,6.0,0.115525
solar,BGDXX,2020,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening peak (17-20),0.016957,0.027457,0.09,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2020,S2D4,S2,D4,Pre-monsoon (Mar-May),Late evening (20-22),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2020,S2D5,S2,D5,Pre-monsoon (Mar-May),Late night (22-24),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2020,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),4.8e-05,0.000414,0.006,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2020,S3D2,S3,D2,SW Monsoon (Jun-Sep),Solar day (06-17),0.309431,0.171473,0.706,0.004,1342,23.7231,90.4086,6.0,0.153196
solar,BGDXX,2020,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening peak (17-20),0.015246,0.02624,0.101,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2020,S3D4,S3,D4,SW Monsoon (Jun-Sep),Late evening (20-22),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2020,S3D5,S3,D5,SW Monsoon (Jun-Sep),Late night (22-24),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2020,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-06),0.0,0.0,0.0,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2020,S4D2,S4,D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.361487,0.223003,0.734,0.0,671,23.7231,90.4086,6.0,0.076598
solar,BGDXX,2020,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.000809,0.002448,0.012,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2020,S4D4,S4,D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2020,S4D5,S4,D5,Post-monsoon (Oct-Nov),Late night (22-24),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2021,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2021,S1D2,S1,D2,Winter (Dec-Feb),Solar day (06-17),0.376251,0.225725,0.731,0.0,990,23.7231,90.4086,6.0,0.113014
solar,BGDXX,2021,S1D3,S1,D3,Winter (Dec-Feb),Evening peak (17-20),0.000289,0.001739,0.017,0.0,270,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2021,S1D4,S1,D4,Winter (Dec-Feb),Late evening (20-22),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2021,S1D5,S1,D5,Winter (Dec-Feb),Late night (22-24),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2021,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),5e-06,7.4e-05,0.001,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2021,S2D2,S2,D2,Pre-monsoon (Mar-May),Solar day (06-17),0.396877,0.197286,0.732,0.012,1012,23.7231,90.4086,6.0,0.115525
solar,BGDXX,2021,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening peak (17-20),0.015178,0.025243,0.086,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2021,S2D4,S2,D4,Pre-monsoon (Mar-May),Late evening (20-22),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2021,S2D5,S2,D5,Pre-monsoon (Mar-May),Late night (22-24),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2021,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),7.1e-05,0.000499,0.005,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2021,S3D2,S3,D2,SW Monsoon (Jun-Sep),Solar day (06-17),0.31361,0.170781,0.693,0.001,1342,23.7231,90.4086,6.0,0.153196
solar,BGDXX,2021,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening peak (17-20),0.01644,0.028179,0.109,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2021,S3D4,S3,D4,SW Monsoon (Jun-Sep),Late evening (20-22),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2021,S3D5,S3,D5,SW Monsoon (Jun-Sep),Late night (22-24),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2021,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-06),0.0,0.0,0.0,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2021,S4D2,S4,D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.360782,0.224631,0.748,0.0,671,23.7231,90.4086,6.0,0.076598
solar,BGDXX,2021,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.000596,0.002206,0.015,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2021,S4D4,S4,D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2021,S4D5,S4,D5,Post-monsoon (Oct-Nov),Late night (22-24),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2022,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2022,S1D2,S1,D2,Winter (Dec-Feb),Solar day (06-17),0.382466,0.233616,0.768,0.0,990,23.7231,90.4086,6.0,0.113014
