REGION,TECHNOLOGY,VALUE
GLOBAL,PWRTRNBTNXX,31.536
GLOBAL,PWRTRNINDEA,31.536
GLOBAL,PWRTRNINDNE,31.536
GLOBAL,PWRTRNINDNO,31.536
GLOBAL,PWRTRNINDSO,31.536
GLOBAL,PWRTRNINDWE,31.536
GLOBAL,PWRTRNLKAXX,31.536
GLOBAL,PWRTRNMDVXX,31.536
GLOBAL,PWRTRNNPLXX,31.536
GLOBAL,PWRURNBGDXX,31.536
GLOBAL,PWRURNINDEA,31.536
GLOBAL,PWRURNINDNE,31.536
GLOBAL,PWRURNINDNO,31.536
GLOBAL,PWRURNINDSO,31.536
GLOBAL,PWRURNINDWE,31.536
GLOBAL,PWRWASBGDXX,31.536
GLOBAL,PWRWASINDEA,31.536
GLOBAL,PWRWASINDNE,31.536
GLOBAL,PWRWASINDNO,31.536
GLOBAL,PWRWASINDSO,31.536
GLOBAL,PWRWASINDWE,31.536
GLOBAL,PWRWASLKAXX,31.536
GLOBAL,PWRWASNPLXX,31.536
GLOBAL,PWRWOFBGDXX,31.536
GLOBAL,PWRWOFINDEA,31.536
GLOBAL,PWRWOFINDNE,31.536
GLOBAL,PWRWOFINDNO,31.536
GLOBAL,PWRWOFINDSO,31.536
GLOBAL,PWRWOFINDWE,31.536
GLOBAL,PWRWOFLKAXX,31.536
GLOBAL,PWRWONBGDXX,31.536
GLOBAL,PWRWONBTNXX,31.536
GLOBAL,PWRWONINDEA,31.536
GLOBAL,PWRWONINDNE,31.536
GLOBAL,PWRWONINDNO,31.536
GLOBAL,PWRWONINDSO,31.536
GLOBAL,PWRWONINDWE,31.536
GLOBAL,PWRWONLKAXX,31.536
GLOBAL,PWRWONNPLXX,31.536
GLOBAL,RNWNLIBGDXX,31.536
GLOBAL,RNWNLIBTNXX,31.536
GLOBAL,RNWNLIINDEA,31.536
GLOBAL,RNWNLIINDNE,31.536
GLOBAL,RNWNLIINDNO,31.536
GLOBAL,RNWNLIINDSO,31.536
GLOBAL,RNWNLIINDWE,31.536
GLOBAL,RNWNLILKAXX,31.536
GLOBAL,RNWNLIMDVXX,31.536
GLOBAL,RNWNLINPLXX,31.536
GLOBAL,RNWRPOBGDXX,31.536
GLOBAL,RNWRPOBTNXX,31.536
GLOBAL,RNWRPOINDEA,31.536
GLOBAL,RNWRPOINDNE,31.536
GLOBAL,RNWRPOINDNO,31.536
GLOBAL,RNWRPOINDSO,31.536
GLOBAL,RNWRPOINDWE,31.536
GLOBAL,RNWRPOLKAXX,31.536
GLOBAL,RNWRPOMDVXX,31.536
GLOBAL,RNWRPONPLXX,31.536
GLOBAL,RNWTRNBGDXX,31.536
GLOBAL,RNWTRNBTNXX,31.536
GLOBAL,RNWTRNINDEA,31.536
GLOBAL,RNWTRNINDNE,31.536
GLOBAL,RNWTRNINDNO,31.536
GLOBAL,RNWTRNINDSO,31.536
GLOBAL,RNWTRNINDWE,31.536
GLOBAL,RNWTRNLKAXX,31.536
GLOBAL,RNWTRNMDVXX,31.536
GLOBAL,RNWTRNNPLXX,31.536
GLOBAL,TRNBGDXXINDEA,31.536
GLOBAL,TRNBGDXXINDNE,31.536
GLOBAL,TRNBTNXXINDEA,31.536
GLOBAL,TRNINDEAINDNE,31.536
GLOBAL,TRNINDEAINDNO,31.536
GLOBAL,TRNINDEAINDSO,31.536
GLOBAL,TRNINDEAINDWE,31.536
GLOBAL,TRNINDEANPLXX,31.536
GLOBAL,TRNINDNEINDNO,31.536
GLOBAL,TRNINDNOINDWE,31.536
GLOBAL,TRNINDNONPLXX,31.536
GLOBAL,TRNINDSOINDWE,31.536
GLOBAL,TRNINDSOLKAXX,31.536
GLOBAL,TRNNLIBGDXX,31.536
GLOBAL,TRNNLIBTNXX,31.536
GLOBAL,TRNNLIINDEA,31.536
GLOBAL,TRNNLIINDNE,31.536
GLOBAL,TRNNLIINDNO,31.536
GLOBAL,TRNNLIINDSO,31.536
GLOBAL,TRNNLIINDWE,31.536
GLOBAL,TRNNLILKAXX,31.536
GLOBAL,TRNNLIMDVXX,31.536
GLOBAL,TRNNLINPLXX,31.536
GLOBAL,TRNRPOBGDXX,31.536
GLOBAL,TRNRPOBTNXX,31.536
GLOBAL,TRNRPOINDEA,31.536
GLOBAL,TRNRPOINDNE,31.536
GLOBAL,TRNRPOINDNO,31.536
GLOBAL,TRNRPOINDSO,31.536
GLOBAL,TRNRPOINDWE,31.536
GLOBAL,TRNRPOLKAXX,31.536
GLOBAL,TRNRPOMDVXX,31.536
GLOBAL,TRNRPONPLXX,31.536
