REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
GLOBAL,SDSINDNO01,2,1,2029,9e-05
GLOBAL,SDSINDNO01,2,1,2030,0.00156
GLOBAL,SDSINDNO01,2,1,2034,8.380374498719784e-09
GLOBAL,SDSINDNO01,2,1,2035,8.380374498357668e-09
GLOBAL,SDSINDNO01,2,1,2039,2.797518835508106e-10
GLOBAL,SDSINDNO01,2,1,2040,3.2137799497187004e-08
GLOBAL,SDSINDNO01,2,1,2050,3.154265304961164e-08
GLOBAL,SDSINDNO01,3,1,2030,0.00156
GLOBAL,SDSINDNO01,3,1,2033,0.00156
GLOBAL,SDSINDNO01,3,1,2034,0.001560025072315
GLOBAL,SDSINDNO01,3,1,2042,0.0015299999999999
GLOBAL,SDSINDNO01,3,1,2043,0.0015299999999999
GLOBAL,SDSINDNO01,3,1,2044,0.0015299999999999
GLOBAL,SDSINDNO01,3,1,2045,0.0015299999999999
GLOBAL,SDSINDNO01,3,1,2046,0.0015300237694021
GLOBAL,SDSINDNO01,3,1,2049,0.0014800237866528
GLOBAL,SDSINDNO01,4,1,2029,9e-05
GLOBAL,SDSINDNO01,4,1,2036,0.00156
GLOBAL,SDSINDNO01,4,1,2039,0.00156
GLOBAL,SDSINDNO01,4,1,2040,0.00156
GLOBAL,SDSINDNO01,4,1,2041,0.00156
GLOBAL,SDSINDNO01,4,1,2043,0.0015299999999999
GLOBAL,SDSINDNO01,4,1,2044,0.0015299999999999
GLOBAL,SDSINDNO01,4,1,2046,0.0015299999999999
GLOBAL,SDSINDNO01,4,1,2047,0.00148
GLOBAL,SDSINDNO01,4,1,2049,0.00148
GLOBAL,SDSINDNO01,4,1,2050,0.00148
GLOBAL,SDSINDSO01,1,1,2031,0.00144
GLOBAL,SDSINDSO01,1,1,2032,0.00144
GLOBAL,SDSINDSO01,1,1,2034,0.00144
GLOBAL,SDSINDSO01,1,1,2037,0.00144
GLOBAL,SDSINDSO01,1,1,2039,0.00144
GLOBAL,SDSINDSO01,1,1,2046,3.0325443394727274e-08
GLOBAL,SDSINDSO01,2,1,2032,3.0690148913240364e-08
GLOBAL,SDSINDSO01,2,1,2035,3.069014891295125e-08
GLOBAL,SDSINDSO01,2,1,2038,3.0690148913240364e-08
GLOBAL,SDSINDSO01,2,1,2044,2.9665655571119444e-08
GLOBAL,SDSINDSO01,2,1,2048,3.0690148913240364e-08
GLOBAL,SDSINDSO01,3,1,2033,0.00144
GLOBAL,SDSINDSO01,3,1,2034,0.00144
GLOBAL,SDSINDSO01,3,1,2036,0.00144
GLOBAL,SDSINDSO01,3,1,2039,0.00144
GLOBAL,SDSINDSO01,3,1,2041,0.0014400146354341
GLOBAL,SDSINDSO01,3,1,2042,2.237133174599736e-08
GLOBAL,SDSINDSO01,3,1,2043,0.00144
GLOBAL,SDSINDSO01,3,1,2044,0.00144
GLOBAL,SDSINDSO01,3,1,2045,0.00144
GLOBAL,SDSINDSO01,3,1,2047,0.00144
GLOBAL,SDSINDSO01,3,1,2048,0.00144
GLOBAL,SDSINDSO01,3,1,2049,0.0014400231437702
GLOBAL,SDSINDSO01,4,1,2030,0.00144
GLOBAL,SDSINDSO01,4,1,2033,0.00144
GLOBAL,SDSINDSO01,4,1,2035,0.00144
GLOBAL,SDSINDSO01,4,1,2036,0.00144
GLOBAL,SDSINDSO01,4,1,2037,0.00144
GLOBAL,SDSINDSO01,4,1,2039,0.00144
GLOBAL,SDSINDSO01,4,1,2041,0.00144
GLOBAL,SDSINDSO01,4,1,2049,0.00144
GLOBAL,SDSINDWE01,1,1,2030,0.0008099999999999
GLOBAL,SDSINDWE01,1,1,2031,0.0008099999999999
GLOBAL,SDSINDWE01,1,1,2032,0.0008100176470877
GLOBAL,SDSINDWE01,2,1,2032,4.3513482974177545e-09
GLOBAL,SDSINDWE01,2,1,2034,4.351348297273194e-09
GLOBAL,SDSINDWE01,2,1,2036,1.7263208763462798e-08
GLOBAL,SDSINDWE01,2,1,2039,4.3513482974177545e-09
GLOBAL,SDSINDWE01,2,1,2050,4.3513427656759226e-09
GLOBAL,SDSINDWE01,3,1,2030,0.0008099999999999
GLOBAL,SDSINDWE01,3,1,2031,0.0008099999999999
GLOBAL,SDSINDWE01,3,1,2032,0.0008099999999999
GLOBAL,SDSINDWE01,3,1,2034,0.0008099999999999
GLOBAL,SDSINDWE01,3,1,2036,0.0008099999999999
GLOBAL,SDSINDWE01,3,1,2037,0.0008100125838011
GLOBAL,SDSINDWE01,3,1,2038,0.0008100086670098
GLOBAL,SDSINDWE01,3,1,2039,0.0008099999999999
GLOBAL,SDSINDWE01,3,1,2040,0.0008099999999999
GLOBAL,SDSINDWE01,3,1,2043,0.0008099999999999
GLOBAL,SDSINDWE01,3,1,2047,0.000810013018376
GLOBAL,SDSINDWE01,3,1,2050,0.0008100130182995
GLOBAL,SDSINDWE01,4,1,2031,0.0008099999999999
GLOBAL,SDSINDWE01,4,1,2032,0.0008099999999999
GLOBAL,SDSINDWE01,4,1,2033,0.0008099999999999
GLOBAL,SDSINDWE01,4,1,2034,0.0008099999999999
GLOBAL,SDSINDWE01,4,1,2038,0.0008099999999999
GLOBAL,SDSINDWE01,4,1,2039,0.0008099999999999
GLOBAL,SDSINDWE01,4,1,2040,0.0008099999999999
