REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D3,DSPTRNBGDXX,1,2026,298.78162697664
GLOBAL,S1D4,DSPTRNBGDXX,1,2026,298.89222404400005
GLOBAL,S1D5,DSPTRNBGDXX,1,2026,188.33239002244824
GLOBAL,S2D1,DSPTRNBGDXX,1,2026,298.37673438047995
GLOBAL,S2D2,DSPTRNBGDXX,1,2026,244.7324772748991
GLOBAL,S2D3,DSPTRNBGDXX,1,2026,399.41008962511063
GLOBAL,S2D4,DSPTRNBGDXX,1,2026,475.47979588512
GLOBAL,S2D5,DSPTRNBGDXX,1,2026,415.90874156251726
GLOBAL,S3D1,DSPTRNBGDXX,1,2026,316.86432692530286
GLOBAL,S3D2,DSPTRNBGDXX,1,2026,263.8810988990396
GLOBAL,S3D3,DSPTRNBGDXX,1,2026,305.58855242448
GLOBAL,S3D4,DSPTRNBGDXX,1,2026,345.61159159106006
GLOBAL,S3D5,DSPTRNBGDXX,1,2026,303.78908461248
GLOBAL,S4D1,DSPTRNBGDXX,1,2026,298.59885616748875
GLOBAL,S4D2,DSPTRNBGDXX,1,2026,347.35102285248
GLOBAL,S4D3,DSPTRNBGDXX,1,2026,269.4183183405742
GLOBAL,S4D4,DSPTRNBGDXX,1,2026,276.64063345182086
GLOBAL,S4D5,DSPTRNBGDXX,1,2026,209.54500338073592
GLOBAL,S1D1,DSPTRNBGDXX,2,2026,263.52401866277665
GLOBAL,S1D2,DSPTRNBGDXX,2,2026,195.68734021039668
GLOBAL,S1D3,DSPTRNBGDXX,2,2026,248.83786202472268
GLOBAL,S1D4,DSPTRNBGDXX,2,2026,254.7704750021358
GLOBAL,S1D5,DSPTRNBGDXX,2,2026,262.32565066277664
GLOBAL,S2D1,DSPTRNBGDXX,2,2026,236.26347382722
GLOBAL,S2D2,DSPTRNBGDXX,2,2026,262.3256506627767
GLOBAL,S2D3,DSPTRNBGDXX,2,2026,147.31798096237776
GLOBAL,S2D4,DSPTRNBGDXX,2,2026,107.3539913084054
GLOBAL,S2D5,DSPTRNBGDXX,2,2026,96.1081396562402
GLOBAL,S3D1,DSPTRNBGDXX,2,2026,268.46659287077665
GLOBAL,S3D2,DSPTRNBGDXX,2,2026,263.52401866277665
GLOBAL,S3D3,DSPTRNBGDXX,2,2026,248.8345437197004
GLOBAL,S3D4,DSPTRNBGDXX,2,2026,268.46659287077665
GLOBAL,S3D5,DSPTRNBGDXX,2,2026,251.225519035111
GLOBAL,S4D1,DSPTRNBGDXX,2,2026,188.25540390287816
GLOBAL,S4D2,DSPTRNBGDXX,2,2026,124.3795733771865
GLOBAL,S4D3,DSPTRNBGDXX,2,2026,263.52401866277665
GLOBAL,S4D4,DSPTRNBGDXX,2,2026,263.52401866277665
GLOBAL,S4D5,DSPTRNBGDXX,2,2026,263.52401866277665
GLOBAL,S1D1,DSPTRNBGDXX,1,2027,189.4331451583391
GLOBAL,S1D2,DSPTRNBGDXX,1,2027,277.94094814584764
GLOBAL,S1D3,DSPTRNBGDXX,1,2027,298.93780081728
GLOBAL,S1D4,DSPTRNBGDXX,1,2027,304.10585964023613
GLOBAL,S1D5,DSPTRNBGDXX,1,2027,223.40873644416
GLOBAL,S2D1,DSPTRNBGDXX,1,2027,298.50660152064
GLOBAL,S2D2,DSPTRNBGDXX,1,2027,296.1797804226241
GLOBAL,S2D3,DSPTRNBGDXX,1,2027,400.8250245118813
GLOBAL,S2D4,DSPTRNBGDXX,1,2027,475.650802368
GLOBAL,S2D5,DSPTRNBGDXX,1,2027,419.2534879086495
