REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D2,302.5033086732644
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D3,411.4686949235248
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D4,474.77875438944
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D5,414.998564439538
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D1,337.1995554414944
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D2,280.2881410571778
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D3,305.39411343216
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D4,367.89629009360897
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D5,304.8273654867303
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D1,236.9873635117762
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D2,302.2627447486432
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D3,303.05241248256
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D4,293.91295200894007
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D5,303.06100667328
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D1,181.10987552544256
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D2,241.556034718109
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D3,298.84608592992004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D4,303.8942614108824
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D5,192.5864527915512
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D1,298.02800235456
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D2,316.93559128193147
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D3,403.9433780943268
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D4,474.96208261824006
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D5,414.7114745101208
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D1,340.0032396570208
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D2,278.8972174098236
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D3,305.95965514271995
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D4,372.7816632586578
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D5,305.43574030324754
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D1,232.66001189761928
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D2,303.2430592098131
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D3,303.51223196064
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D4,303.51334013568
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D5,303.53325543504
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D1,225.02394053268375
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D2,237.53794122688765
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D3,299.02439488896
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D4,304.43890832350496
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D5,299.06480984976
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D1,298.17644798304
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D2,349.60108460112
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D3,522.0645717525905
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D4,594.2155632522758
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D5,534.871602453539
