REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOAMDV,1,2031,4.996659061502347
GLOBAL,MINCOAMDV,1,2032,4.88601938326209
GLOBAL,MINCOAMDV,1,2033,4.775379705021831
GLOBAL,MINCOAMDV,1,2034,4.6647400267815735
GLOBAL,MINCOAMDV,1,2035,4.554100348541315
GLOBAL,MINCOAMDV,1,2036,4.505523278156875
GLOBAL,MINCOAMDV,1,2037,4.456946207772433
GLOBAL,MINCOAMDV,1,2038,4.408369137387993
GLOBAL,MINCOAMDV,1,2039,4.359792067003553
GLOBAL,MINCOAMDV,1,2040,4.311214996619111
GLOBAL,MINCOAMDV,1,2041,4.262637926234671
GLOBAL,MINCOAMDV,1,2042,4.21406085585023
GLOBAL,MINCOAMDV,1,2043,4.165483785465789
GLOBAL,MINCOAMDV,1,2044,4.116906715081349
GLOBAL,MINCOAMDV,1,2045,4.068329644696909
GLOBAL,MINCOAMDV,1,2046,4.019752574312467
GLOBAL,MINCOAMDV,1,2047,3.971175503928027
GLOBAL,MINCOAMDV,1,2048,3.922598433543586
GLOBAL,MINCOAMDV,1,2049,3.8740213631591454
GLOBAL,MINCOAMDV,1,2050,3.8254442927747045
GLOBAL,MINCOANPL,1,2023,8.942390369733449
GLOBAL,MINCOANPL,1,2024,6.876691526297386
GLOBAL,MINCOANPL,1,2025,5.33523086762127
GLOBAL,MINCOANPL,1,2026,6.261479326747385
GLOBAL,MINCOANPL,1,2027,5.439217774463382
GLOBAL,MINCOANPL,1,2028,5.328578096223123
GLOBAL,MINCOANPL,1,2029,5.217938417982865
GLOBAL,MINCOANPL,1,2030,5.107298739742607
GLOBAL,MINCOANPL,1,2031,4.996659061502347
GLOBAL,MINCOANPL,1,2032,4.88601938326209
GLOBAL,MINCOANPL,1,2033,4.775379705021831
GLOBAL,MINCOANPL,1,2034,4.6647400267815735
GLOBAL,MINCOANPL,1,2035,4.554100348541315
GLOBAL,MINCOANPL,1,2036,4.505523278156875
GLOBAL,MINCOANPL,1,2037,4.456946207772433
GLOBAL,MINCOANPL,1,2038,4.408369137387993
GLOBAL,MINCOANPL,1,2039,4.359792067003553
GLOBAL,MINCOANPL,1,2040,4.311214996619111
GLOBAL,MINCOANPL,1,2041,4.262637926234671
GLOBAL,MINCOANPL,1,2042,4.21406085585023
GLOBAL,MINCOANPL,1,2043,4.165483785465789
GLOBAL,MINCOANPL,1,2044,4.116906715081349
GLOBAL,MINCOANPL,1,2045,4.068329644696909
GLOBAL,MINCOANPL,1,2046,4.019752574312467
GLOBAL,MINCOANPL,1,2047,3.971175503928027
GLOBAL,MINCOANPL,1,2048,3.922598433543586
GLOBAL,MINCOANPL,1,2049,3.8740213631591454
GLOBAL,MINCOANPL,1,2050,3.8254442927747045
GLOBAL,MINCOGBGD,1,2023,5.422227767430297
GLOBAL,MINCOGBGD,1,2024,5.422227767430297
GLOBAL,MINCOGBGD,1,2025,5.616456821786009
GLOBAL,MINCOGBGD,1,2026,5.810685876141723
GLOBAL,MINCOGBGD,1,2027,6.004914930497434
GLOBAL,MINCOGBGD,1,2028,6.199143984853147
GLOBAL,MINCOGBGD,1,2029,6.393373039208858
GLOBAL,MINCOGBGD,1,2030,6.587602093564572
GLOBAL,MINCOGBGD,1,2031,6.729227445698944
GLOBAL,MINCOGBGD,1,2032,6.870852797833318
GLOBAL,MINCOGBGD,1,2033,7.0124781499676905
GLOBAL,MINCOGBGD,1,2034,7.154103502102064
GLOBAL,MINCOGBGD,1,2035,7.295728854236437
GLOBAL,MINCOGBGD,1,2036,7.437354206370811
GLOBAL,MINCOGBGD,1,2037,7.578979558505185
GLOBAL,MINCOGBGD,1,2038,7.720604910639557
GLOBAL,MINCOGBGD,1,2039,7.862230262773931
GLOBAL,MINCOGBGD,1,2040,8.003855614908305
GLOBAL,MINCOGBGD,1,2041,8.145480967042678
GLOBAL,MINCOGBGD,1,2042,8.204828733651368
GLOBAL,MINCOGBGD,1,2043,8.264176500260058
GLOBAL,MINCOGBGD,1,2044,8.323524266868748
GLOBAL,MINCOGBGD,1,2045,8.382872033477438
GLOBAL,MINCOGBGD,1,2046,8.442219800086127
GLOBAL,MINCOGBGD,1,2047,8.501567566694817
GLOBAL,MINCOGBGD,1,2048,8.560915333303509
GLOBAL,MINCOGBGD,1,2049,8.620263099912195
GLOBAL,MINCOGBGD,1,2050,8.679610866520887
GLOBAL,MINCOGBTN,1,2023,17.73081239289668
GLOBAL,MINCOGBTN,1,2024,15.447008874139122
GLOBAL,MINCOGBTN,1,2025,14.109394484067977
GLOBAL,MINCOGBTN,1,2026,18.348963452335095
GLOBAL,MINCOGBTN,1,2027,14.639960790819067
GLOBAL,MINCOGBTN,1,2028,14.011399715510837
GLOBAL,MINCOGBTN,1,2029,13.382838640202607
GLOBAL,MINCOGBTN,1,2030,12.754277564894378
GLOBAL,MINCOGBTN,1,2031,12.125716489586148
GLOBAL,MINCOGBTN,1,2032,11.49715541427792
GLOBAL,MINCOGBTN,1,2033,10.868594338969691
GLOBAL,MINCOGBTN,1,2034,10.240033263661461
GLOBAL,MINCOGBTN,1,2035,9.61147218835323
GLOBAL,MINCOGBTN,1,2036,9.710638171248938
GLOBAL,MINCOGBTN,1,2037,9.809804154144647
GLOBAL,MINCOGBTN,1,2038,9.908970137040354
GLOBAL,MINCOGBTN,1,2039,10.008136119936063
GLOBAL,MINCOGBTN,1,2040,10.10730210283177
GLOBAL,MINCOGBTN,1,2041,10.206468085727478
GLOBAL,MINCOGBTN,1,2042,10.305634068623187
GLOBAL,MINCOGBTN,1,2043,10.404800051518894
GLOBAL,MINCOGBTN,1,2044,10.503966034414603
GLOBAL,MINCOGBTN,1,2045,10.60313201731031
GLOBAL,MINCOGBTN,1,2046,10.702298000206016
GLOBAL,MINCOGBTN,1,2047,10.801463983101725
GLOBAL,MINCOGBTN,1,2048,10.900629965997432
GLOBAL,MINCOGBTN,1,2049,10.99979594889314
GLOBAL,MINCOGBTN,1,2050,11.098961931788848
GLOBAL,MINCOGIND,1,2023,16.37091690573507
GLOBAL,MINCOGIND,1,2024,14.262273668971494
GLOBAL,MINCOGIND,1,2025,13.027249940417297
GLOBAL,MINCOGIND,1,2026,16.94165779481653
GLOBAL,MINCOGIND,1,2027,13.517123541712891
GLOBAL,MINCOGIND,1,2028,12.936771051029895
GLOBAL,MINCOGIND,1,2029,12.3564185603469
GLOBAL,MINCOGIND,1,2030,11.776066069663905
GLOBAL,MINCOGIND,1,2031,11.19571357898091
GLOBAL,MINCOGIND,1,2032,10.615361088297915
GLOBAL,MINCOGIND,1,2033,10.035008597614919
GLOBAL,MINCOGIND,1,2034,9.454656106931925
GLOBAL,MINCOGIND,1,2035,8.874303616248929
GLOBAL,MINCOGIND,1,2036,8.96586389165467
GLOBAL,MINCOGIND,1,2037,9.057424167060415
GLOBAL,MINCOGIND,1,2038,9.148984442466157
GLOBAL,MINCOGIND,1,2039,9.2405447178719
GLOBAL,MINCOGIND,1,2040,9.332104993277644
GLOBAL,MINCOGIND,1,2041,9.423665268683385
GLOBAL,MINCOGIND,1,2042,9.515225544089128
GLOBAL,MINCOGIND,1,2043,9.60678581949487
GLOBAL,MINCOGIND,1,2044,9.698346094900614
GLOBAL,MINCOGIND,1,2045,9.789906370306358
GLOBAL,MINCOGIND,1,2046,9.881466645712099
GLOBAL,MINCOGIND,1,2047,9.973026921117844
GLOBAL,MINCOGIND,1,2048,10.064587196523584
GLOBAL,MINCOGIND,1,2049,10.15614747192933
GLOBAL,MINCOGIND,1,2050,10.24770774733507
GLOBAL,MINCOGINT,1,2023,17.73081239289668
GLOBAL,MINCOGINT,1,2024,15.447008874139122
GLOBAL,MINCOGINT,1,2025,14.109394484067977
GLOBAL,MINCOGINT,1,2026,18.348963452335095
GLOBAL,MINCOGINT,1,2027,14.639960790819067
GLOBAL,MINCOGINT,1,2028,14.011399715510837
GLOBAL,MINCOGINT,1,2029,13.382838640202607
GLOBAL,MINCOGINT,1,2030,12.754277564894378
GLOBAL,MINCOGINT,1,2031,12.125716489586148
GLOBAL,MINCOGINT,1,2032,11.49715541427792
GLOBAL,MINCOGINT,1,2033,10.868594338969691
GLOBAL,MINCOGINT,1,2034,10.240033263661461
GLOBAL,MINCOGINT,1,2035,9.61147218835323
GLOBAL,MINCOGINT,1,2036,9.710638171248938
GLOBAL,MINCOGINT,1,2037,9.809804154144647
GLOBAL,MINCOGINT,1,2038,9.908970137040354
