source_rule_id,parameter,ordered_parameter_indices,region,technology,semantic_technology_group,canonical_country,year,required_root_present,required_root_value,required_root_state,verified_physical_unit,verified_compiled_unit,root_scenarios_with_actual_change,authority_classification,authority_lineage_class,timeslice
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINOTHLKA::2024,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINOTHLKA,MIN:OTH,LKA,2024,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINOTHLKA::2025,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINOTHLKA,MIN:OTH,LKA,2025,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINOTHLKA::2026,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINOTHLKA,MIN:OTH,LKA,2026,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINPETIND::2023,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINPETIND,MIN:PET,IND,2023,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINPETIND::2024,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINPETIND,MIN:PET,IND,2024,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINPETIND::2025,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINPETIND,MIN:PET,IND,2025,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINPETIND::2026,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINPETIND,MIN:PET,IND,2026,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINPETLKA::2023,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINPETLKA,MIN:PET,LKA,2023,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINPETLKA::2024,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINPETLKA,MIN:PET,LKA,2024,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINPETLKA::2025,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINPETLKA,MIN:PET,LKA,2025,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINPETLKA::2026,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINPETLKA,MIN:PET,LKA,2026,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINURNIND::2023,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINURNIND,MIN:URN,IND,2023,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINURNIND::2024,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINURNIND,MIN:URN,IND,2024,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINURNIND::2025,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINURNIND,MIN:URN,IND,2025,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINURNIND::2026,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINURNIND,MIN:URN,IND,2026,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026,
