timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S4D1,Post-monsoon (Oct-Nov),Night (00-05),PWRGASNPLXX,Gas,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S4D2,Post-monsoon (Oct-Nov),Morning ramp (05-08),PWRHYDNPLXX,Hydro,,,0.697000,,"NDOR FY2080 fleet avg, flat within season"
S4D2,Post-monsoon (Oct-Nov),Morning ramp (05-08),PWRSPVNPLXX,Solar,,0.148164,,,Ninja
S4D2,Post-monsoon (Oct-Nov),Morning ramp (05-08),PWRWONNPLXX,Wind,,0.004153,,,Ninja
S4D2,Post-monsoon (Oct-Nov),Morning ramp (05-08),PWRGASNPLXX,Gas,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S4D3,Post-monsoon (Oct-Nov),Solar day (08-17),PWRHYDNPLXX,Hydro,,,0.697000,,"NDOR FY2080 fleet avg, flat within season"
S4D3,Post-monsoon (Oct-Nov),Solar day (08-17),PWRSPVNPLXX,Solar,,0.517743,,,Ninja
S4D3,Post-monsoon (Oct-Nov),Solar day (08-17),PWRWONNPLXX,Wind,,0.015461,,,Ninja
S4D3,Post-monsoon (Oct-Nov),Solar day (08-17),PWRGASNPLXX,Gas,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S4D4,Post-monsoon (Oct-Nov),Evening peak (17-20),PWRHYDNPLXX,Hydro,,,0.697000,,"NDOR FY2080 fleet avg, flat within season"
S4D4,Post-monsoon (Oct-Nov),Evening peak (17-20),PWRSPVNPLXX,Solar,,0.000000,,,Ninja
S4D4,Post-monsoon (Oct-Nov),Evening peak (17-20),PWRWONNPLXX,Wind,,0.007944,,,Ninja
S4D4,Post-monsoon (Oct-Nov),Evening peak (17-20),PWRGASNPLXX,Gas,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S4D5,Post-monsoon (Oct-Nov),Late evening (20-22),PWRHYDNPLXX,Hydro,,,0.697000,,"NDOR FY2080 fleet avg, flat within season"
S4D5,Post-monsoon (Oct-Nov),Late evening (20-22),PWRSPVNPLXX,Solar,,0.000000,,,Ninja
S4D5,Post-monsoon (Oct-Nov),Late evening (20-22),PWRWONNPLXX,Wind,,0.006971,,,Ninja
S4D5,Post-monsoon (Oct-Nov),Late evening (20-22),PWRGASNPLXX,Gas,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S4D6,Post-monsoon (Oct-Nov),Late night (22-24),PWRHYDNPLXX,Hydro,,,0.697000,,"NDOR FY2080 fleet avg, flat within season"
S4D6,Post-monsoon (Oct-Nov),Late night (22-24),PWRSPVNPLXX,Solar,,0.000000,,,Ninja
S4D6,Post-monsoon (Oct-Nov),Late night (22-24),PWRWONNPLXX,Wind,,0.006577,,,Ninja
S4D6,Post-monsoon (Oct-Nov),Late night (22-24),PWRGASNPLXX,Gas,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
