resource,region,year_file,header_description,unit_time,unit_electricity,param_lat,param_lon,param_date_from,param_date_to,param_dataset,param_capacity,param_system_loss,param_tracking,param_tilt,param_azim,param_header,n_rows,cf_mean,cf_max,utc_offset,filepath,param_height,param_turbine
solar,INDSO,2020,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2020-01-01,2020-12-31,merra2,1.0,0.1,0,13,180,true,8784,0.1839,0.798,5.5,./ninja_data/solar\solar_INDSO_2020.csv,,
solar,INDSO,2021,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2021-01-01,2021-12-31,merra2,1.0,0.1,0,13,180,true,8760,0.1808,0.813,5.5,./ninja_data/solar\solar_INDSO_2021.csv,,
solar,INDSO,2022,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2022-01-01,2022-12-31,merra2,1.0,0.1,0,13,180,true,8760,0.1861,0.809,5.5,./ninja_data/solar\solar_INDSO_2022.csv,,
solar,INDWE,2014,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 19.017, 72.857 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,19.017,72.857,2014-01-01,2014-12-31,merra2,1.0,0.1,0,19,180,true,8760,0.1902,0.789,5.5,./ninja_data/solar\solar_INDWE_2014.csv,,
solar,INDWE,2015,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 19.017, 72.857 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,19.017,72.857,2015-01-01,2015-12-31,merra2,1.0,0.1,0,19,180,true,8760,0.1919,0.799,5.5,./ninja_data/solar\solar_INDWE_2015.csv,,
solar,INDWE,2016,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 19.017, 72.857 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,19.017,72.857,2016-01-01,2016-12-31,merra2,1.0,0.1,0,19,180,true,8784,0.1927,0.771,5.5,./ninja_data/solar\solar_INDWE_2016.csv,,
solar,INDWE,2017,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 19.017, 72.857 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,19.017,72.857,2017-01-01,2017-12-31,merra2,1.0,0.1,0,19,180,true,8760,0.1923,0.785,5.5,./ninja_data/solar\solar_INDWE_2017.csv,,
solar,INDWE,2018,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 19.017, 72.857 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,19.017,72.857,2018-01-01,2018-12-31,merra2,1.0,0.1,0,19,180,true,8760,0.1871,0.784,5.5,./ninja_data/solar\solar_INDWE_2018.csv,,
solar,INDWE,2019,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 19.017, 72.857 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,19.017,72.857,2019-01-01,2019-12-31,merra2,1.0,0.1,0,19,180,true,8760,0.1836,0.794,5.5,./ninja_data/solar\solar_INDWE_2019.csv,,
solar,INDWE,2020,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 19.017, 72.857 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,19.017,72.857,2020-01-01,2020-12-31,merra2,1.0,0.1,0,19,180,true,8784,0.1821,0.799,5.5,./ninja_data/solar\solar_INDWE_2020.csv,,
