sheet,tech,parameter,year,old_value,new_value,delta,source
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2039,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2040,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2041,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2042,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2043,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2044,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2045,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2046,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2047,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2048,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2049,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2050,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,TotalAnnualMinCapacityInvestment,2035,0.000000,0.750000,+0.750000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2023,0.990000,5.526000,+4.536000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2024,0.990000,5.526000,+4.536000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2025,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2026,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2027,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2028,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2029,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2030,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2031,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2032,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2033,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2034,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2035,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2036,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2037,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2038,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2039,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2040,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2041,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2042,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2043,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2044,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2045,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2046,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2047,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2048,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2049,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDEA,ResidualCapacity,2050,2.100000,5.526000,+3.426000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2023,0.170000,0.110000,-0.060000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2024,0.170000,0.110000,-0.060000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2025,0.170000,0.110000,-0.060000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2026,0.170000,0.110000,-0.060000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2027,0.770000,0.110000,-0.660000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2028,0.770000,0.110000,-0.660000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2029,1.270000,0.110000,-1.160000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2030,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2031,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2032,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2033,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2034,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2035,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2036,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2037,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2038,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2039,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2040,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2041,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2042,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2043,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2044,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2045,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2046,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2047,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2048,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2049,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNBTNXXINDNE,ResidualCapacity,2050,2.395000,0.110000,-2.285000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2025,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2026,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2027,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2028,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2029,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2030,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2031,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2032,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2033,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2034,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2035,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2036,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2037,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2038,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2039,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2040,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2041,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2042,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2043,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2044,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2045,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2046,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2047,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2048,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2049,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,ResidualCapacity,2050,22.790000,21.190000,-1.600000,split
Secondary Techs,TRNINDEAINDWE,TotalAnnualMinCapacityInvestment,2025,0.000000,1.600000,+1.600000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2023,0.700000,1.300000,+0.600000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2024,1.000000,1.300000,+0.300000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2025,1.000000,1.300000,+0.300000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2026,1.000000,1.300000,+0.300000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2027,1.000000,1.300000,+0.300000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2028,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2029,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2030,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2031,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2032,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2033,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2034,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2035,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2036,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2037,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2038,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2039,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2040,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2041,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2042,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2043,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2044,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2045,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2046,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2047,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2048,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2049,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDEANPLXX,ResidualCapacity,2050,3.000000,1.300000,-1.700000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2024,38.320000,36.720000,-1.600000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2025,38.320000,36.720000,-1.600000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2026,46.720000,36.720000,-10.000000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2027,46.720000,36.720000,-10.000000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2028,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2029,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2030,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2031,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2032,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2033,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2034,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2035,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2036,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2037,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2038,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2039,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2040,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2041,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2042,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2043,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2044,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2045,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2046,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2047,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2048,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2049,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,ResidualCapacity,2050,50.920000,36.720000,-14.200000,split
Secondary Techs,TRNINDNOINDWE,TotalAnnualMinCapacityInvestment,2024,0.000000,1.600000,+1.600000,split
Secondary Techs,TRNINDNOINDWE,TotalAnnualMinCapacityInvestment,2026,0.000000,8.400000,+8.400000,split
Secondary Techs,TRNINDNOINDWE,TotalAnnualMinCapacityInvestment,2028,0.000000,4.200000,+4.200000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2023,0.070000,1.200000,+1.130000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2024,0.070000,1.200000,+1.130000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2025,3.570000,1.200000,-2.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2026,3.570000,1.200000,-2.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2027,3.570000,1.200000,-2.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2028,3.570000,1.200000,-2.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2029,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2030,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2031,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2032,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2033,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2034,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2035,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2036,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2037,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2038,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2039,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2040,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2041,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2042,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2043,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2044,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2045,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2046,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2047,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2048,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2049,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDNONPLXX,ResidualCapacity,2050,5.570000,1.200000,-4.370000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2024,22.320000,18.120000,-4.200000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2025,26.520000,18.120000,-8.400000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2026,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2027,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2028,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2029,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2030,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2031,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2032,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2033,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2034,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2035,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2036,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2037,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2038,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2039,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2040,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2041,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2042,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2043,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2044,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2045,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2046,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2047,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2048,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2049,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,ResidualCapacity,2050,28.120000,18.120000,-10.000000,split
Secondary Techs,TRNINDSOINDWE,TotalAnnualMinCapacityInvestment,2024,0.000000,4.200000,+4.200000,split
Secondary Techs,TRNINDSOINDWE,TotalAnnualMinCapacityInvestment,2025,0.000000,4.200000,+4.200000,split
Secondary Techs,TRNINDSOINDWE,TotalAnnualMinCapacityInvestment,2026,0.000000,1.600000,+1.600000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2030,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2031,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2032,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2033,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2034,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2035,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2036,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2037,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2038,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2039,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2040,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2041,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2042,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2043,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2044,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2045,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2046,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2047,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2048,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2049,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,ResidualCapacity,2050,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNINDSOLKAXX,TotalAnnualMinCapacityInvestment,2030,0.000000,0.500000,+0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2030,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2031,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2032,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2033,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2034,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2035,0.500000,0.000000,-0.500000,split
